ds,predicted_total_posts,predicted_total_posts_lower,predicted_total_posts_upper,actual_total_posts,predicted_vague_ratio,predicted_vague_ratio_lower,predicted_vague_ratio_upper,actual_vague_ratio,total_posts_difference,vague_ratio_difference,period
2020-12-07,137.121399630518,124.01495234085378,149.24541631588477,108,0.16280691460050659,0.12226835835745692,0.19794632712366958,0.2222222222222222,-29.121399630518,0.059415307621715624,After NSL
2020-12-08,144.58266130887733,130.8822786908134,158.51603936287637,82,0.16164184619008565,0.12238300575594598,0.19804962905846946,0.2682926829268293,-62.582661308877334,0.10665083673674364,After NSL
2020-12-09,144.41051395548175,131.1011310809376,158.73061177531898,95,0.16085950544018812,0.12237355511186028,0.19809241015519302,0.22105263157894736,-49.41051395548175,0.06019312613875924,After NSL
2020-12-10,149.46101765554062,134.96763503097588,163.17795474488088,88,0.17035308338166721,0.13278150138244935,0.20781988210369076,0.25,-61.461017655540616,0.07964691661833279,After NSL
2020-12-11,152.78943237243735,138.66823775760525,166.81755693037692,81,0.14631570594772883,0.10517379742676357,0.18513559442840974,0.2345679012345679,-71.78943237243735,0.08825219528683906,After NSL
2020-12-12,155.09858838313278,142.68423417908946,168.95345239538932,102,0.13981918576012833,0.10120272760608277,0.17816935683009172,0.24509803921568626,-53.09858838313278,0.10527885345555793,After NSL
2020-12-13,150.57530268173193,136.46679415307295,164.92382048362606,94,0.14370469399855354,0.10575049084368529,0.17997787565375978,0.20212765957446807,-56.57530268173193,0.05842296557591453,After NSL
2020-12-14,149.0493054970784,134.490776431636,162.70778713341744,85,0.14177563507436902,0.10223348054683605,0.18249725893687607,0.25882352941176473,-64.0493054970784,0.11704789433739571,After NSL
2020-12-15,155.0348200283953,140.81335291296492,168.38383814654858,101,0.13852143728579003,0.09936633109100582,0.17657623786622453,0.21782178217821782,-54.0348200283953,0.0793003448924278,After NSL
2020-12-16,153.17179824330543,138.98681854409787,167.32945784575756,104,0.13607597937526222,0.09570234987349478,0.1759799931237078,0.18269230769230768,-49.17179824330543,0.04661632831704546,After NSL
2020-12-17,156.34985173441984,143.1059484493151,171.52351100116528,98,0.144375979480325,0.108433754607144,0.18473143023660582,0.2653061224489796,-58.34985173441984,0.12093014296865462,After NSL
2020-12-18,157.661161989376,142.99076199785594,171.95772148021126,104,0.1196473690521499,0.08024608404760257,0.1594391549542322,0.22115384615384615,-53.66116198937601,0.10150647710169625,After NSL
2020-12-19,157.84798056165414,144.18288443611405,171.59904132814162,94,0.11298320452489181,0.07638046335856043,0.14959298065154564,0.2127659574468085,-63.84798056165414,0.0997827529219167,After NSL
2020-12-20,151.1381339020605,137.46806274014773,164.50376162962834,100,0.11723378585248895,0.07868881460821359,0.15543554387636951,0.31,-51.1381339020605,0.19276621414751105,After NSL
2020-12-21,147.40301973127222,134.5827265100129,161.4350793734536,110,0.11619927875463003,0.07984962170390952,0.15355459179564912,0.2818181818181818,-37.403019731272224,0.16561890306355176,After NSL
2020-12-22,151.19826078313832,137.09002842618585,164.99329171075007,92,0.1143535601779566,0.07433056374266109,0.149610581686582,0.21739130434782608,-59.19826078313832,0.10303774416986948,After NSL
2020-12-23,147.20404090088047,133.52371637380034,160.24361664104765,116,0.11380300527909912,0.07864093394598733,0.14844378315222215,0.1896551724137931,-31.20404090088047,0.07585216713469398,After NSL
2020-12-24,148.34818347939304,134.93157808713792,163.72715495959287,121,0.12444553291960077,0.08533508757595143,0.16282437516374423,0.19008264462809918,-27.348183479393043,0.06563711170849841,After NSL
2020-12-25,147.7582759549444,133.81179702889446,162.72151546585604,76,0.10245791512768798,0.06368107831426575,0.13920650205627105,0.2236842105263158,-71.7582759549444,0.12122629539862781,After NSL
2020-12-26,146.20846806764303,130.95925746383026,159.99016029157093,86,0.09887487904008616,0.06288176878251742,0.13904798253143852,0.22093023255813954,-60.208468067643025,0.12205535351805338,After NSL
2020-12-27,137.9543733939856,124.49090330390807,151.54061048092822,104,0.10648063967633888,0.07056683682672207,0.1439900943192442,0.19230769230769232,-33.954373393985605,0.08582705263135344,After NSL
2020-12-28,132.89057295007174,119.40006058327849,146.96105214328256,94,0.10900312395716028,0.06957545837690317,0.14668401010182697,0.3404255319148936,-38.89057295007174,0.23142240795773333,After NSL
2020-12-29,135.59089555909293,121.46805182609538,148.93129022474736,101,0.11083956434738171,0.071277977580144,0.14885540336055428,0.19801980198019803,-34.59089555909293,0.08718023763281632,After NSL
2020-12-30,130.74850562458448,116.31583539334648,145.96982049080898,100,0.1140171357059116,0.07558987765296864,0.15322430131046313,0.23,-30.74850562458448,0.11598286429408841,After NSL
2020-12-31,131.2988606910882,117.11781210033455,144.40198025273685,92,0.12835390519330833,0.09004252979221893,0.16581045527277374,0.15217391304347827,-39.29886069108821,0.02382000785016994,After NSL
2021-01-01,130.37184163744732,116.23940239497888,143.61144112064062,98,0.10994805238005032,0.07086205219729658,0.14824481945560727,0.20408163265306123,-32.37184163744732,0.09413358027301091,After NSL
2021-01-02,128.7386792354314,114.23683631655919,141.4981852918152,94,0.10975883985332324,0.06989411541107086,0.1487227622433418,0.20212765957446807,-34.73867923543139,0.09236881972114483,After NSL
2021-01-03,120.64709963122165,105.68392777754123,133.6930207273144,83,0.12049992581327999,0.08370924282546942,0.1585779076801417,0.25301204819277107,-37.64709963122165,0.13251212237949106,After NSL
2021-01-04,115.97917792505925,100.45917422612203,129.76606169063845,94,0.12583523478049766,0.08779699408920692,0.16454515500846445,0.2127659574468085,-21.979177925059247,0.08693072266631086,After NSL
2021-01-05,119.29206255850852,105.65341705143702,132.94376687499556,93,0.13010602421604744,0.09338442099251047,0.16745928839575258,0.21505376344086022,-26.29206255850852,0.08494773922481277,After NSL
2021-01-06,115.25858718698557,100.70739190340996,129.80416419443645,98,0.13529278480242224,0.0979778811005545,0.17236994435720104,0.17346938775510204,-17.258587186985565,0.0381766029526798,After NSL
2021-01-07,116.79081689838141,101.78659215181516,131.23757385225525,93,0.15117721405418827,0.1122266781636355,0.18879877022741537,0.21505376344086022,-23.790816898381408,0.06387654938667195,After NSL
2021-01-08,116.99281499590401,102.62987976712682,130.4786766076725,89,0.13383219661233367,0.095949103782513,0.17500315988294027,0.21348314606741572,-27.992814995904013,0.07965094945508205,After NSL
2021-01-09,116.60823681280391,103.1106336921464,130.93838830780211,103,0.1342032547025584,0.09788173704966188,0.1741099087200198,0.21359223300970873,-13.60823681280391,0.07938897830715033,After NSL
2021-01-10,109.85615568491819,96.49753678394633,124.53915271797109,110,0.14500205077997375,0.10699067435038863,0.1823247376790375,0.17272727272727273,0.1438443150818074,0.027725221947298984,After NSL
2021-01-11,106.58959311896189,93.2654360333726,120.97664091633426,99,0.14990215655307565,0.11299877663669093,0.18608234997522657,0.2222222222222222,-7.589593118961886,0.07232006566914656,After NSL
2021-01-12,111.33689946435186,98.12160512178573,125.31932313047176,88,0.1532657317786645,0.11760145574150047,0.19158339045816772,0.20454545454545456,-23.33689946435186,0.05127972276679005,After NSL
2021-01-13,108.74298650262537,95.33232495652618,123.41685263217974,92,0.15710476347576452,0.11826400176709718,0.19296869476644515,0.25,-16.74298650262537,0.09289523652423548,After NSL
2021-01-14,111.69344505712382,97.94546523313201,126.06799925901242,84,0.17124212502291086,0.13403018197359326,0.2102341066342499,0.2619047619047619,-27.693445057123824,0.09066263688185106,After NSL
2021-01-15,113.26782189347672,98.53826093594738,127.35667146874253,111,0.1518004146055802,0.11203151541468913,0.19052840459727313,0.22522522522522523,-2.2678218934767216,0.07342481061964504,After NSL
2021-01-16,114.18765249493649,100.0275440990101,128.09518685846442,98,0.14978206816891323,0.1091052718496816,0.18784039909816477,0.23469387755102042,-16.187652494936486,0.08491180938210718,After NSL
2021-01-17,108.65264720381882,94.78154605364442,122.13862672053202,98,0.15796136525117951,0.12184478600555632,0.20226941898587136,0.23469387755102042,-10.652647203818816,0.0767325122998409,After NSL
2021-01-18,106.49949749879434,92.88055945795479,120.56330116902278,83,0.16007858191626614,0.12210109287788787,0.20295965352503378,0.3253012048192771,-23.49949749879434,0.16522262290301096,After NSL
2021-01-19,112.24344586355848,98.63973852852199,126.06562086065031,95,0.1605649767829223,0.11872074759237765,0.19731230598503158,0.28421052631578947,-17.243445863558478,0.12364554953286716,After NSL
